"","Continent_Name","geo","country","lifeeexp_2021","Income per person","GDP total","growth_2021","date","people_fully_vaccinated_per_hundred","people_vaccinated_per_hundred","verficiation_vaccination_par_100","total_vaccinations_per_hundred","people_fully_vaccinated","total_boosters","total_vaccinations","population_2021"
"151","Europe","svn","Slovenia",81.71,37825,78628339641,4.2,2021-12-20,56.73,59.75,134.978542114558,134.98,1179177,384516,2805830,2078723
"152","Africa","som","Somalia",59.83,673,11012785485,0.29,2021-12-20,4.56,6.65,8.37067147528959,8.37,745600,NA,1369400,16359500
"153","Africa","zaf","South Africa",67.43,11626,698031671445,0.44,2021-12-20,25.98,31.1,45.8243893157716,45.82,15599136,NA,27513878,60041996
"154","Africa","zwe","Zimbabwe",62.51,2587,39046735435,1.87,2021-12-20,20.37,26.9,47.276253363416,47.28,3074691,NA,7135013,15092171
"155","Europe","esp","Spain",83.58,38778,1812675891643,4.25,2021-12-20,80.85,83.45,178.633402681614,178.63,37791863,11071984,83502561,46745211
"156","Africa","ssd","South Sudan",60.26,1800,20482007813,3.47,2021-12-20,1.6,2,2.36034708278269,2.36,181577,NA,268640,11381377
"157","Africa","sdn","Sudan",71.25,3638,163377515606,-1.43,2021-12-20,2.75,8.94,11.6929656810226,11.69,1234386,NA,5251235,44909351
"158","South America","sur","Suriname",72.51,14060,8320503520,0.32,2021-12-20,38.08,43.99,82.0644882206429,82.06,225352,NA,485656,591798
"159","Europe","swe","Sweden",83.08,51272,520927569467,1.98,2021-12-20,72.11,75.86,167.805169190758,167.81,7326603,2015251,17049272,10160159
"160","Europe","che","Switzerland",84.55,67374,587199093893,1.58,2021-12-20,66.44,68.15,150.726407476157,150.73,5790576,1550909,13136551,8715494
"161","Asia","syr","Syria",73.34,3984,72803383235,1.68,2021-12-20,4.24,6.49,9.50978413745375,9.51,774866,NA,1737980,18275704
"162","Asia","tjk","Tajikistan",71.17,3568,34790505680,2.59,2021-12-20,32.89,44.87,61.0352705873303,61.04,3206282,NA,5950710,9749625
"163","Asia","tha","Thailand",78.96,17698,1237996861657,5.45,2021-12-20,63.18,72.11,142.0785130198,142.08,44194781,4751709,99385119,69950844
"164","Africa","tgo","Togo",65.61,1585,13435047467,1.98,2021-12-20,10.95,16.12,27.0681115259508,27.07,928238,NA,2294900,8478242
